,prob,error
0,0.0,0.0
1,0.010101010101010102,0.07062849360178275
2,0.020202020202020204,0.13185568414081367
3,0.030303030303030304,0.1848548840113287
4,0.04040404040404041,0.23066290929004363
5,0.05050505050505051,0.2701947800248104
6,0.06060606060606061,0.30425696684729897
7,0.07070707070707072,0.3335593145946398
8,0.08080808080808081,0.3587257630750468
9,0.09090909090909091,0.38030397531541826
10,0.10101010101010102,0.3987739745382619
11,0.11111111111111112,0.41455588268693
12,0.12121212121212122,0.428016845510224
13,0.13131313131313133,0.4394772219904265
14,0.14141414141414144,0.44921610921523736
15,0.15151515151515152,0.4574762676185646
16,0.16161616161616163,0.46446850581414506
17,0.17171717171717174,0.4703755789879537
18,0.18181818181818182,0.4753556499704624
19,0.19191919191919193,0.47954535764988493
20,0.20202020202020204,0.4830625332860716
21,0.21212121212121213,0.48600860151670944
22,0.22222222222222224,0.48847069938942167
23,0.23232323232323235,0.4905235435831374
24,0.24242424242424243,0.4922310730789124
25,0.25252525252525254,0.4936478918847302
26,0.26262626262626265,0.4948205339923607
27,0.27272727272727276,0.49578857052994363
28,0.2828282828282829,0.49658557705550394
29,0.29292929292929293,0.4972399770990405
30,0.30303030303030304,0.49777577639008147
31,0.31313131313131315,0.4982132006905103
32,0.32323232323232326,0.4985692487767644
33,0.33333333333333337,0.49885817086973944
34,0.3434343434343435,0.4990918816842336
35,0.3535353535353536,0.49928031625260955
36,0.36363636363636365,0.4994317357603143
37,0.37373737373737376,0.49955298980540136
38,0.38383838383838387,0.4996497407523084
39,0.393939393939394,0.4997266551844775
40,0.4040404040404041,0.49978756686416176
41,0.4141414141414142,0.49983561507463103
42,0.42424242424242425,0.4998733617441588
43,0.43434343434343436,0.49990289032727897
44,0.4444444444444445,0.49992588904190643
45,0.4545454545454546,0.49994372072647986
46,0.4646464646464647,0.49995748128513934
47,0.4747474747474748,0.4999680484272774
48,0.48484848484848486,0.49997612217709464
49,0.494949494949495,0.49998225842586125
50,0.5050505050505051,0.49998689662150886
51,0.5151515151515152,0.4999903825343021
52,0.5252525252525253,0.4999929869012459
53,0.5353535353535354,0.49999492063337997
54,0.5454545454545455,0.4999963471672154
55,0.5555555555555556,0.4999973924524746
56,0.5656565656565657,0.4999981529913938
57,0.5757575757575758,0.4999987022786749
58,0.5858585858585859,0.4999990959344174
59,0.595959595959596,0.49999937577385406
60,0.6060606060606061,0.4999995730164037
61,0.6161616161616162,0.49999971080150096
62,0.6262626262626263,0.4999998061490443
63,0.6363636363636365,0.4999998714773721
64,0.6464646464646465,0.4999999157707855
65,0.6565656565656566,0.49999994547121246
66,0.6666666666666667,0.4999999651541403
67,0.6767676767676768,0.49999997803699503
68,0.686868686868687,0.4999999863583315
69,0.696969696969697,0.4999999916581782
70,0.7070707070707072,0.4999999949833702
71,0.7171717171717172,0.499999997036448
72,0.7272727272727273,0.49999999828249286
73,0.7373737373737375,0.4999999990249154
74,0.7474747474747475,0.4999999994585701
75,0.7575757575757577,0.4999999997064982
76,0.7676767676767677,0.49999999984499005
77,0.7777777777777778,0.499999999920424
78,0.787878787878788,0.4999999999603967
79,0.797979797979798,0.4999999999809501
80,0.8080808080808082,0.49999999999117434
81,0.8181818181818182,0.4999999999960778
82,0.8282828282828284,0.4999999999983359
83,0.8383838383838385,0.49999999999932976
84,0.8484848484848485,0.4999999999997454
85,0.8585858585858587,0.4999999999999096
86,0.8686868686868687,0.49999999999997025
87,0.8787878787878789,0.49999999999999106
88,0.888888888888889,0.49999999999999756
89,0.8989898989898991,0.49999999999999944
90,0.9090909090909092,0.4999999999999999
91,0.9191919191919192,0.5
92,0.9292929292929294,0.5
93,0.9393939393939394,0.5
94,0.9494949494949496,0.5
95,0.9595959595959597,0.5
96,0.9696969696969697,0.5
97,0.9797979797979799,0.5
98,0.98989898989899,0.5
99,1.0,0.5
